ThetaIncident,SineRatio,Power1,Power2,sum(log(1 + 10^8 SSNR))
27.0,0.2,2.0,1.0,66426
27.0,0.2,2.0,2.0,68294
27.0,0.30000000000000004,0.5,0.5,52079
27.0,0.30000000000000004,0.5,1.0,54355
27.0,0.30000000000000004,0.5,2.0,53739
27.0,0.30000000000000004,1.0,0.5,59774
27.0,0.30000000000000004,1.0,1.0,63263
27.0,0.30000000000000004,1.0,2.0,60704
27.0,0.30000000000000004,2.0,0.5,62613
27.0,0.30000000000000004,2.0,1.0,66622
27.0,0.30000000000000004,2.0,2.0,69034
27.0,0.4,0.5,0.5,52301
27.0,0.4,0.5,1.0,54962
27.0,0.4,0.5,2.0,54769
27.0,0.4,1.0,0.5,59890
27.0,0.4,1.0,1.0,63649
27.0,0.4,1.0,2.0,61522
27.0,0.4,2.0,0.5,62638
27.0,0.4,2.0,1.0,66754
27.0,0.4,2.0,2.0,69492
27.0,0.5,0.5,0.5,52647
27.0,0.5,0.5,1.0,55837
27.0,0.5,0.5,2.0,56016
27.0,0.5,1.0,0.5,60066
27.0,0.5,1.0,1.0,64294
27.0,0.5,1.0,2.0,62734
27.0,0.5,2.0,0.5,62671
27.0,0.5,2.0,1.0,66971
27.0,0.5,2.0,2.0,70300
27.0,0.6,0.5,0.5,52905
27.0,0.6,0.5,1.0,56400
27.0,0.6,0.5,2.0,56996
27.0,0.6,1.0,0.5,60134
27.0,0.6,1.0,1.0,64475
27.0,0.6,1.0,2.0,63247
27.0,0.6,2.0,0.5,62662
27.0,0.6,2.0,1.0,66965
27.0,0.6,2.0,2.0,70373
27.0,0.7000000000000001,0.5,0.5,53242
27.0,0.7000000000000001,0.5,1.0,57189
27.0,0.7000000000000001,0.5,2.0,58203
27.0,0.7000000000000001,1.0,0.5,60156
27.0,0.7000000000000001,1.0,1.0,64737
27.0,0.7000000000000001,1.0,2.0,64015
27.0,0.7000000000000001,2.0,0.5,62591
27.0,0.7000000000000001,2.0,1.0,66867
27.0,0.7000000000000001,2.0,2.0,70536
27.0,0.8,0.5,0.5,53438
27.0,0.8,0.5,1.0,57803
27.0,0.8,0.5,2.0,59305
27.0,0.8,1.0,0.5,59923
27.0,0.8,1.0,1.0,64568
27.0,0.8,1.0,2.0,64403
27.0,0.8,2.0,0.5,62357
27.0,0.8,2.0,1.0,66362
27.0,0.8,2.0,2.0,70102
27.0,0.9,0.5,0.5,53109
27.0,0.9,0.5,1.0,57779
27.0,0.9,0.5,2.0,60063
27.0,0.9,1.0,0.5,58886
27.0,0.9,1.0,1.0,63078
27.0,0.9,1.0,2.0,63653
27.0,0.9,2.0,0.5,61616
27.0,0.9,2.0,1.0,64627
27.0,0.9,2.0,2.0,67921
27.0,1.0,0.5,0.5,55190
27.0,1.0,0.5,1.0,58696
27.0,1.0,0.5,2.0,61065
27.0,1.0,1.0,0.5,58696
27.0,1.0,1.0,1.0,60269
27.0,1.0,1.0,2.0,61514
27.0,1.0,2.0,0.5,61065
27.0,1.0,2.0,1.0,61514
27.0,1.0,2.0,2.0,61971
36.0,0.1,0.5,0.5,55461
36.0,0.1,0.5,1.0,54879
36.0,0.1,0.5,2.0,52051
36.0,0.1,1.0,0.5,65579
36.0,0.1,1.0,1.0,66445
36.0,0.1,1.0,2.0,60623
36.0,0.1,2.0,0.5,68400
36.0,0.1,2.0,1.0,71629
36.0,0.1,2.0,2.0,71755
36.0,0.2,0.5,0.5,55765
36.0,0.2,0.5,1.0,55784
36.0,0.2,0.5,2.0,53647
36.0,0.2,1.0,0.5,65776
36.0,0.2,1.0,1.0,67087
36.0,0.2,1.0,2.0,61901
36.0,0.2,2.0,0.5,68467
36.0,0.2,2.0,1.0,71895
36.0,0.2,2.0,2.0,72561
36.0,0.30000000000000004,0.5,0.5,56118
36.0,0.30000000000000004,0.5,1.0,56785
36.0,0.30000000000000004,0.5,2.0,55286
36.0,0.30000000000000004,1.0,0.5,65995
36.0,0.30000000000000004,1.0,1.0,67776
36.0,0.30000000000000004,1.0,2.0,63350
36.0,0.30000000000000004,2.0,0.5,68540
36.0,0.30000000000000004,2.0,1.0,72161
36.0,0.30000000000000004,2.0,2.0,73408
36.0,0.4,0.5,0.5,56528
36.0,0.4,0.5,1.0,57718
36.0,0.4,0.5,2.0,56704
36.0,0.4,1.0,0.5,66229
36.0,0.4,1.0,1.0,68405
36.0,0.4,1.0,2.0,64515
36.0,0.4,2.0,0.5,68606
36.0,0.4,2.0,1.0,72405
36.0,0.4,2.0,2.0,74098
36.0,0.5,0.5,0.5,57147
36.0,0.5,0.5,1.0,59023
36.0,0.5,0.5,2.0,58442
36.0,0.5,1.0,0.5,66578
36.0,0.5,1.0,1.0,69361
36.0,0.5,1.0,2.0,66137
36.0,0.5,2.0,0.5,68706
36.0,0.5,2.0,1.0,72789
36.0,0.5,2.0,2.0,75193
36.0,0.6,0.5,0.5,57841
36.0,0.6,0.5,1.0,60322
36.0,0.6,0.5,2.0,60142
36.0,0.6,1.0,0.5,66891
36.0,0.6,1.0,1.0,70095
36.0,0.6,1.0,2.0,67378
36.0,0.6,2.0,0.5,68775
36.0,0.6,2.0,1.0,73027
36.0,0.6,2.0,2.0,75805
36.0,0.7000000000000001,0.5,0.5,58736
36.0,0.7000000000000001,0.5,1.0,61966
36.0,0.7000000000000001,0.5,2.0,62099
36.0,0.7000000000000001,1.0,0.5,67251
36.0,0.7000000000000001,1.0,1.0,71034
36.0,0.7000000000000001,1.0,2.0,68923
36.0,0.7000000000000001,2.0,0.5,68830
36.0,0.7000000000000001,2.0,1.0,73285
36.0,0.7000000000000001,2.0,2.0,76617
36.0,0.8,0.5,0.5,59611
36.0,0.8,0.5,1.0,63614
36.0,0.8,0.5,2.0,64083
36.0,0.8,1.0,0.5,67380
36.0,0.8,1.0,1.0,71605
36.0,0.8,1.0,2.0,70165
36.0,0.8,2.0,0.5,68718
36.0,0.8,2.0,1.0,73129
36.0,0.8,2.0,2.0,76834
36.0,0.9,0.5,0.5,60223
36.0,0.9,0.5,1.0,64956
36.0,0.9,0.5,2.0,65876
36.0,0.9,1.0,0.5,66946
36.0,0.9,1.0,1.0,71251
36.0,0.9,1.0,2.0,70592
36.0,0.9,2.0,0.5,68244
36.0,0.9,2.0,1.0,72080
36.0,0.9,2.0,2.0,75751
36.0,1.0,0.5,0.5,62573
36.0,1.0,0.5,1.0,65413
36.0,1.0,0.5,2.0,66665
36.0,1.0,1.0,0.5,65413
36.0,1.0,1.0,1.0,66323
36.0,1.0,1.0,2.0,66812
36.0,1.0,2.0,0.5,66665
36.0,1.0,2.0,1.0,66812
36.0,1.0,2.0,2.0,66920
45.0,0.1,0.5,0.5,60160
45.0,0.1,0.5,1.0,57179
45.0,0.1,0.5,2.0,53064
45.0,0.1,1.0,0.5,72489
45.0,0.1,1.0,1.0,71026
45.0,0.1,1.0,2.0,62800
45.0,0.1,2.0,0.5,74280
45.0,0.1,2.0,1.0,77022
45.0,0.1,2.0,2.0,75781
45.0,0.2,0.5,0.5,60534
45.0,0.2,0.5,1.0,58244
45.0,0.2,0.5,2.0,54888
45.0,0.2,1.0,0.5,72744
45.0,0.2,1.0,1.0,71803
45.0,0.2,1.0,2.0,64317
45.0,0.2,2.0,0.5,74372
45.0,0.2,2.0,1.0,77353
45.0,0.2,2.0,2.0,76746
45.0,0.30000000000000004,0.5,0.5,61008
45.0,0.30000000000000004,0.5,1.0,59439
45.0,0.30000000000000004,0.5,2.0,56755
45.0,0.30000000000000004,1.0,0.5,73046
45.0,0.30000000000000004,1.0,1.0,72643
45.0,0.30000000000000004,1.0,2.0,65955
45.0,0.30000000000000004,2.0,0.5,74474
45.0,0.30000000000000004,2.0,1.0,77691
45.0,0.30000000000000004,2.0,2.0,77721
45.0,0.4,0.5,0.5,61623
45.0,0.4,0.5,1.0,60733
45.0,0.4,0.5,2.0,58606
45.0,0.4,1.0,0.5,73393
45.0,0.4,1.0,1.0,73498
45.0,0.4,1.0,2.0,67467
45.0,0.4,2.0,0.5,74575
45.0,0.4,2.0,1.0,78017
45.0,0.4,2.0,2.0,78589
45.0,0.5,0.5,0.5,62481
45.0,0.5,0.5,1.0,62449
45.0,0.5,0.5,2.0,60826
45.0,0.5,1.0,0.5,73836
45.0,0.5,1.0,1.0,74636
45.0,0.5,1.0,2.0,69389
45.0,0.5,2.0,0.5,74688
45.0,0.5,2.0,1.0,78429
45.0,0.5,2.0,2.0,79759
45.0,0.6,0.5,0.5,63643
45.0,0.6,0.5,1.0,64501
45.0,0.6,0.5,2.0,63206
45.0,0.6,1.0,0.5,74378
45.0,0.6,1.0,1.0,75857
45.0,0.6,1.0,2.0,71250
45.0,0.6,2.0,0.5,74820
45.0,0.6,2.0,1.0,78842
45.0,0.6,2.0,2.0,80751
45.0,0.7000000000000001,0.5,0.5,65179
45.0,0.7000000000000001,0.5,1.0,67117
45.0,0.7000000000000001,0.5,2.0,65987
45.0,0.7000000000000001,1.0,0.5,75041
45.0,0.7000000000000001,1.0,1.0,77405
45.0,0.7000000000000001,1.0,2.0,73518
45.0,0.7000000000000001,2.0,0.5,74955
45.0,0.7000000000000001,2.0,1.0,79322
45.0,0.7000000000000001,2.0,2.0,82008
45.0,0.8,0.5,0.5,66977
45.0,0.8,0.5,1.0,70059
45.0,0.8,0.5,2.0,68879
45.0,0.8,1.0,0.5,75694
45.0,0.8,1.0,1.0,78974
45.0,0.8,1.0,2.0,75742
45.0,0.8,2.0,0.5,75030
45.0,0.8,2.0,1.0,79676
45.0,0.8,2.0,2.0,83077
45.0,0.9,0.5,0.5,68803
45.0,0.9,0.5,1.0,73079
45.0,0.9,0.5,2.0,71783
45.0,0.9,1.0,0.5,76041
45.0,0.9,1.0,1.0,80088
45.0,0.9,1.0,2.0,77553
45.0,0.9,2.0,0.5,74883
45.0,0.9,2.0,1.0,79504
45.0,0.9,2.0,2.0,83386
45.0,1.0,0.5,0.5,71145
45.0,1.0,0.5,1.0,72629
45.0,1.0,0.5,2.0,71985
45.0,1.0,1.0,0.5,72629
45.0,1.0,1.0,1.0,72401
45.0,1.0,1.0,2.0,71634
45.0,1.0,2.0,0.5,71985
45.0,1.0,2.0,1.0,71634
45.0,1.0,2.0,2.0,71168
54.0,0.1,0.5,0.5,65183
