Configuration,Factor,Volume,Entropy
Hexagonal,0.30000000000000004,7823.429038492744,829.5551353160288
Hexagonal,0.3500000000000001,7988.773206287957,831.0628731768869
Hexagonal,0.40000000000000013,8089.758889403107,832.3870142806192
Hexagonal,0.45000000000000007,8190.324393332987,833.9502001339076
Hexagonal,0.5000000000000001,8344.40122783374,836.7343432345463
Hexagonal,0.5500000000000002,8506.065718357964,840.6071062147175
Hexagonal,0.6000000000000002,8651.648579743154,844.7158440976813
Hexagonal,0.6500000000000001,8794.532548285693,848.6344183233027
Hexagonal,0.7000000000000002,8933.662834032102,852.0233414183941
Hexagonal,0.7500000000000002,9043.680701865482,854.5312606715922
Hexagonal,0.8000000000000002,9112.16936604588,855.83980098033
Hexagonal,0.8500000000000002,9130.938434158123,855.9639889265472
Hexagonal,0.9000000000000002,9097.644124730401,855.0157127368929
Hexagonal,0.9500000000000003,9016.935587355765,853.222760297225
Hexagonal,1.0000000000000004,8896.268872451325,850.727142356255
Hexagonal,1.0500000000000003,8747.797754171226,847.6964787583963
Hexagonal,1.1000000000000005,8590.106297152846,844.7169239529751
Hexagonal,1.1500000000000004,8427.674468246521,841.7761309721253
Hexagonal,1.2000000000000004,8263.139485738393,838.8434510996364
Hexagonal,1.2500000000000004,8104.222824785744,836.0573413203778
Hexagonal,1.3000000000000005,7955.4726838223505,833.4628539181138
Hexagonal,1.3500000000000005,7819.4525480725,831.1308001578055
Hexagonal,1.4000000000000006,7692.444636929624,828.9839908080838
Hexagonal,1.4500000000000006,7570.462161690135,826.8561792323972
Hexagonal,1.5000000000000004,7459.681009594983,824.9146266886423
Hexagonal,1.5500000000000005,7362.764944883485,823.3093640734826
Hexagonal,1.6000000000000005,7271.350240339362,821.8281679635109
Hexagonal,1.6500000000000006,7186.169470527985,820.5062454072337
Hexagonal,1.7000000000000006,7110.81759834721,819.3655623208012
Hexagonal,1.7500000000000007,7044.616153894331,818.4481807749768
Hexagonal,1.8000000000000007,6988.929319435302,817.8094497188684
Hexagonal,1.8500000000000008,6939.122873671418,817.2874783452098
Hexagonal,1.9000000000000008,6898.8749429055815,816.9003104905663
Hexagonal,1.9500000000000006,6875.593120587717,816.9031224438072
Hexagonal,2.0000000000000004,6871.412865874516,817.3323969495439
Hexagonal,2.0500000000000007,6877.188383164821,817.8643183290252
Hexagonal,2.100000000000001,6905.602940110177,818.8210014417301
Hexagonal,2.150000000000001,6957.620211286814,820.1940733242734
Hexagonal,2.2000000000000006,7011.453575046621,821.6408609473266
Hexagonal,2.250000000000001,7048.828208240907,822.9087506733925
Hexagonal,2.3000000000000007,7070.606693475604,823.8454257317954
Hexagonal,2.350000000000001,7105.384827099388,824.8942103851799
Hexagonal,2.400000000000001,7162.625595298504,826.0669945549472
Hexagonal,2.450000000000001,7234.205575147852,827.0763781021687
Hexagonal,2.500000000000001,7303.426367247844,827.5764859750932
Hexagonal,2.5500000000000007,7379.330158071465,828.326143049593
