size_low_pass,size_notch,Volume,Entropy
2.4,2.2,200.77350274452303,823.207427494048
2.4,2.4,202.07308116306845,825.9607218910741
2.4,2.6,197.10095262672866,823.9323991715473
2.4,2.8,202.37280694502047,826.723488107119
2.4,3.0,197.90238353365677,820.9715277212417
2.4,3.2,196.85607386466188,819.2409482933509
2.4,3.4,187.96944121654013,814.325961510479
2.4,3.6,196.8417199386903,821.1739667617145
2.4,3.8,199.8256550675784,821.8814414892897
2.4,4.0,198.38534409783452,822.2053154559806
2.4,4.2,196.8971779679078,821.1198150012402
2.4,4.4,199.4508669273397,821.9105796150425
2.4,4.6,202.64924022456586,825.6405909638469
2.4,4.8,199.65042434409597,822.9903790574812
2.4,5.0,193.3754073386969,817.8959362754096
2.6,0.2,0.0,-0.0
2.6,0.4,223.73237279003172,857.2646609542991
2.6,0.6,220.2187197113568,852.4918607212559
2.6,0.8,214.47360319764215,842.5658648763317
2.6,1.0,209.59608392386383,834.9607131832483
2.6,1.2,205.96635071309063,830.5077965795123
2.6,1.4,202.75656502047224,827.2146980399785
2.6,1.6,199.98407161639346,825.3474510963356
2.6,1.8,192.17031274497873,817.3005397726836
2.6,2.0,197.9022760917922,821.1658334415212
2.6,2.2,200.01822416089817,822.1754518552283
2.6,2.4,201.4599936698767,824.841262351972
2.6,2.6,197.3810756834897,823.8078646900356
2.6,2.8,200.91521563455245,825.1450153452984
2.6,3.0,196.97447714695087,820.1574745496123
2.6,3.2,195.44335349265683,817.7146602002975
2.6,3.4,187.7887773054751,813.6166049796996
2.6,3.6,196.19042368581702,820.2597052998236
2.6,3.8,198.97694995504708,820.3889653599863
2.6,4.0,197.6015271444112,821.0458782471878
2.6,4.2,196.8558465639611,821.1739077566227
2.6,4.4,199.0556090682625,821.9073085618293
2.6,4.6,201.86084906949782,824.8058530559142
2.6,4.8,198.87501554633135,821.9134773262008
2.6,5.0,192.86078967612457,816.8735395255517
2.8,0.2,0.0,-0.0
2.8,0.4,219.8076642230605,854.0102104568009
2.8,0.6,216.5154075554052,849.3615550138179
2.8,0.8,210.92386133686264,839.2380126947089
2.8,1.0,206.02271779394712,830.5170700893013
2.8,1.2,203.1258954547095,827.176904769256
2.8,1.4,200.38295302275472,823.6888141995429
2.8,1.6,198.35158174326537,823.0688891915786
2.8,1.8,191.62440003346825,816.8057664156186
2.8,2.0,196.7588035279417,819.786378394455
2.8,2.2,199.01971567074366,821.3068174939359
2.8,2.4,200.48117821585836,823.4229416333395
2.8,2.6,196.86542738843082,822.7623574324238
2.8,2.8,199.7863685453575,823.9259779224006
2.8,3.0,196.38002228314204,820.1931214918201
2.8,3.2,194.74389834321295,817.5069045023445
2.8,3.4,188.2089321820786,813.4766969066474
2.8,3.6,195.6317530651819,819.5186934838865
2.8,3.8,198.25523000630108,819.4086360576813
2.8,4.0,196.54637391366037,819.5610751910579
2.8,4.2,196.5043455861559,820.6421353090747
2.8,4.4,198.88812721296884,821.7150598661862
2.8,4.6,200.55833090885417,823.8995575387745
2.8,4.8,197.87176482006942,821.019222769625
2.8,5.0,191.77368409567734,815.1185261714934
3.0,0.2,0.0,-0.0
3.0,0.4,217.09274920772157,852.1009737928576
3.0,0.6,213.90028968855518,847.4878903404165
3.0,0.8,208.06556603942607,836.5211960780714
3.0,1.0,202.96601399933252,826.73097248806
3.0,1.2,200.48984654053615,823.7683905508859
3.0,1.4,198.53393151583595,821.6329041834222
3.0,1.6,196.43397706614135,820.1375993523602
3.0,1.8,190.89554930555573,815.9558917771565
3.0,2.0,195.7961059076223,818.6371274808017
3.0,2.2,197.8825125368778,819.9400752226452
3.0,2.4,199.45992019698753,822.2798798090126
3.0,2.6,195.94979670874494,821.6244615606714
3.0,2.8,199.10253898909372,823.1793147137646
3.0,3.0,196.0156897194252,819.9163826193187
3.0,3.2,194.88092950481533,818.596268012494
3.0,3.4,189.0227657805641,813.4768448007883
3.0,3.6,195.26173814620333,819.4017395083439
3.0,3.8,197.6635017208465,819.0901380963478
3.0,4.0,195.21652117672505,817.2223426526639
3.0,4.2,196.03872117293744,819.6378206307954
3.0,4.4,198.94247396294847,821.8495359523034
