m1,m2,Volume,Entropy
3.5,6.0,240.7650033695936,960.61674673777
3.5,6.5,237.99199232706584,958.7810049574266
3.5,7.0,235.2231889296448,956.9723842909572
3.5,7.5,232.48083682520712,955.195189835132
3.5,8.0,229.78033728432865,953.4519371634352
3.5,8.5,227.1321732342496,951.743981150055
3.5,9.0,224.54326446941295,950.0719192696952
3.5,9.5,222.01793593942827,948.4358538776834
3.5,10.0,219.55861808143112,946.8355701416062
3.5,10.5,217.16635856329637,945.2706456362332
3.5,11.0,214.84119937567124,943.7405296976282
3.5,11.5,212.58245656089483,942.2445916429856
3.5,12.0,210.3889287612651,940.7821543660187
3.5,12.5,208.25905323167777,939.3525150552596
3.5,13.0,206.19102276258036,937.954960054946
3.5,13.5,204.1828733191557,936.5887737366072
3.5,14.0,202.2325496191749,935.2532444622108
3.5,14.5,200.3379540155496,933.9476698791954
3.5,15.0,198.4969827006593,932.6713557911204
3.5,15.5,196.70755225949,931.4236215070442
3.5,16.0,194.9676188654615,930.2037983494351
3.5,16.5,193.27519186559488,929.0112326572788
3.5,17.0,191.62834309032007,927.8452836957538
3.5,17.5,190.02521291211295,926.7053242388218
3.5,18.0,188.46401384055525,925.5907420812832
3.5,18.5,186.9430322606197,924.5009395670048
3.5,19.0,185.46062878227636,923.4353309609816
3.5,19.5,184.0152375626887,922.3933472011892
3.5,20.0,182.6053648797725,921.374431776114
4.0,0.5,221.1084466891808,963.4712914623576
4.0,1.0,231.3241498040344,974.3641564261372
4.0,1.5,237.76426498936587,978.4921231653068
4.0,2.0,241.40201551923465,979.7158610735736
4.0,2.5,243.0676481768317,979.589825024622
4.0,3.0,243.37184693238527,978.7802655227084
4.0,3.5,242.74124951472572,977.601050456802
4.0,4.0,241.46948916336083,976.2144517992429
4.0,4.5,239.75926572589668,974.7111313243948
4.0,5.0,237.7519582248165,973.1447785454362
4.0,5.5,235.54738795347035,971.5485020595476
4.0,6.0,233.21684855151287,969.943278442198
4.0,6.5,230.81174515124945,968.3426058221822
4.0,7.0,228.36939898208252,966.7552236633678
4.0,7.5,225.91701145700569,965.1867780642172
4.0,8.0,223.47441751962825,963.6408734850444
4.0,8.5,221.05602963984305,962.119754779744
4.0,9.0,218.6722314871346,960.6247551374702
4.0,9.5,216.33039103391155,959.1565959176676
4.0,10.0,214.03560618726317,957.7155873006272
4.0,10.5,211.7912595683179,956.3017660687392
4.0,11.0,209.59943519740364,954.9149856575026
4.0,11.5,207.46123398338383,953.5549811597542
4.0,12.0,205.3770142050526,952.2214115916968
4.0,12.5,203.34657582683136,950.9138862335844
4.0,13.0,201.36930237787743,949.6319861101884
4.0,13.5,199.44427051409977,948.375276719172
4.0,14.0,197.5703348004241,947.1433144020764
4.0,14.5,195.74619338051912,945.9356538039008
4.0,15.0,193.97043883117655,944.7518503255942
4.0,15.5,192.24159748428124,943.5914624780268
4.0,16.0,190.5581597412025,942.4540532478524
4.0,16.5,188.9186033328108,941.3391909580918
4.0,17.0,187.3214110439208,940.2464495501124
4.0,17.5,185.76508408846823,939.1754098634668
4.0,18.0,184.24815206563537,938.1256567828876
4.0,18.5,182.7691802287383,937.0967831376056
4.0,19.0,181.3267746442325,936.088387454404
4.0,19.5,179.91958569736903,935.1000738768028
4.0,20.0,178.54631030616565,934.1314543188904
