m1,m2,Volume,Entropy
3.0,14.5,198.29526191656842,899.3116710591977
3.0,15.0,196.73841359431697,897.7741646580729
3.0,15.5,195.210611624811,896.2573257549574
3.0,16.0,193.71153127533645,894.7607350855511
3.0,16.5,192.24077660711413,893.2839712279579
3.0,17.0,190.79789547590505,891.8266160944822
3.0,17.5,189.38239200347118,890.38825819353
3.0,18.0,187.99373695518187,888.9684931270508
3.0,18.5,186.63137637782881,887.5669268738781
3.0,19.0,185.2947387871609,886.1831754189782
3.0,19.5,183.98324114302926,884.8168654249789
3.0,20.0,182.69629380850657,883.4676354137088
3.5,0.5,222.41581783192598,940.2877285696125
3.5,1.0,224.47542346847783,943.9558274602289
3.5,1.5,225.7448667425824,945.8323821541591
3.5,2.0,226.3520536380824,946.526519057651
3.5,2.5,226.43612840672856,946.4595102266585
3.5,3.0,226.109452126294,945.891669116426
3.5,3.5,225.4610611796585,944.9869732028436
3.5,4.0,224.56143615838738,943.8519600693998
3.5,4.5,223.4663181817149,942.5579179622796
3.5,5.0,222.21978960390442,941.1538074401593
3.5,5.5,220.85676537974905,939.6740222607261
3.5,6.0,219.40497916574202,938.1431761082303
3.5,6.5,217.8865428166206,936.5791530397561
3.5,7.0,216.31915828711087,934.9951022055443
3.5,7.5,214.7170546112133,933.4007749763452
3.5,8.0,213.0917116699518,931.803446079757
3.5,8.5,211.45242044020546,930.2085588518136
3.5,9.0,209.80671845646202,928.6201878562421
3.5,9.5,208.1607301095198,927.0413767680259
3.5,10.0,206.51943421621908,925.4743829897867
3.5,10.5,204.8868757803014,923.9208632744127
3.5,11.0,203.26633470277216,922.3820135183935
3.5,11.5,201.6604610840863,920.8586745817718
3.5,12.0,200.07138443421758,919.3514140553068
3.5,12.5,198.50080236945763,917.8605885221673
3.5,13.0,196.95005307427408,916.3863926063568
3.5,13.5,195.42017482918692,914.9288956453319
3.5,14.0,193.91195516760544,913.488072901211
3.5,14.5,192.4259716642872,912.0638287777167
3.5,15.0,190.96262593032546,910.6560125073536
3.5,15.5,189.52217206103998,909.2644336012528
3.5,16.0,188.10474052933262,907.8888748497022
3.5,16.5,186.71035831976923,906.5290980693043
3.5,17.0,185.33896594438443,905.1848524945913
3.5,17.5,183.99043185984735,903.855879009819
3.5,18.0,182.66456470960281,902.5419153510326
3.5,18.5,181.36112373818608,901.242697881015
3.5,19.0,180.0798276637375,899.9579647001594
3.5,19.5,178.82036224552388,898.6874571239712
3.5,20.0,177.58238674342317,897.4309215139963
4.0,0.5,210.96065520620465,946.2106256932245
4.0,1.0,212.8865027567012,949.8505040704753
4.0,1.5,214.18817186292443,951.9372977963981
4.0,2.0,214.9375130096979,952.9329906789353
4.0,2.5,215.2353963206321,953.1967375541848
4.0,3.0,215.16733010364905,952.9621249125664
4.0,3.5,214.80315893593763,952.3816416326049
4.0,4.0,214.19988578214162,951.5572415118278
4.0,4.5,213.4040307031941,950.5587880875065
4.0,5.0,212.45353069214326,949.435250884104
4.0,5.5,211.37931751443628,948.2216589197449
4.0,6.0,210.20663336299097,946.9435156078096
4.0,6.5,208.95611601397061,945.6196728540092
4.0,7.0,207.64468233473846,944.2642425258814
4.0,7.5,206.28624040363428,942.8878953577952
4.0,8.0,204.8922599305499,941.4987643401699
4.0,8.5,203.472227898736,940.1030839181615
4.0,9.0,202.03401247537172,938.7056505530246
4.0,9.5,200.58415418507067,937.3101603121395
4.0,10.0,199.12809962345565,935.9194606617216
4.0,10.5,197.67038981566034,934.5357388195895
4.0,11.0,196.21481272888676,933.1606668392895
4.0,11.5,194.7645273773878,931.7955116423298
4.0,12.0,193.32216533118873,930.441220899935
4.0,12.5,191.8899141724723,929.0984900872033
4.0,13.0,190.4695864606384,927.7678164087437
4.0,13.5,189.06267700585806,926.4495382292994
4.0,14.0,187.67041066114433,925.1438713628415
