ThetaIncident,SineRatio,Power1,Power2,volume,volume_a,total,total_a,,measure,entropy
27,0.2,2,0.5,409,436,138,137,4448,22,1988
27,0.2,2,1,455,457,123,128,4958,31,2173
27,0.2,2,2,496,474,112,122,5392,26,2314
27,0.3,0.5,0.5,355,451,157,128,3753,6,1668
27,0.3,0.5,1,381,466,146,125,4037,7,1773
27,0.3,0.5,2,387,436,145,137,4078,6,1772
27,0.3,1,0.5,405,466,139,125,4364,16,1932
27,0.3,1,1,449,481,124,120,4843,17,2101
27,0.3,1,2,441,457,127,128,4724,14,2039
27,0.3,2,0.5,410,436,138,137,4452,22,1985
27,0.3,2,1,457,457,123,128,4978,31,2179
27,0.3,2,2,503,474,112,122,5472,27,2343
27,0.4,0.5,0.5,356,451,157,128,3770,6,1679
27,0.4,0.5,1,384,466,145,125,4078,9,1793
27,0.4,0.5,2,391,436,144,137,4137,9,1803
27,0.4,1,0.5,406,466,138,125,4369,17,1930
27,0.4,1,1,450,481,124,120,4865,18,2116
27,0.4,1,2,445,457,126,128,4770,19,2056
27,0.4,2,0.5,410,436,138,137,4452,22,1985
27,0.4,2,1,457,457,122,128,4982,31,2183
27,0.4,2,2,505,474,111,122,5495,28,2352
27,0.5,0.5,0.5,359,451,156,128,3805,7,1693
27,0.5,0.5,1,390,466,144,125,4149,12,1822
27,0.5,0.5,2,396,436,143,137,4211,12,1842
27,0.5,1,0.5,407,466,138,125,4384,17,1938
27,0.5,1,1,455,481,124,120,4921,21,2136
27,0.5,1,2,452,457,126,128,4859,15,2096
27,0.5,2,0.5,410,436,138,137,4454,22,1987
27,0.5,2,1,458,457,122,128,4998,32,2192
27,0.5,2,2,510,474,112,122,5563,33,2383
27,0.6,0.5,0.5,361,451,154,128,3820,7,1694
27,0.6,0.5,1,391,466,142,125,4165,13,1831
27,0.6,0.5,2,397,436,142,137,4234,14,1858
27,0.6,1,0.5,407,466,137,125,4383,17,1937
27,0.6,1,1,454,481,122,120,4907,20,2129
27,0.6,1,2,449,457,124,128,4843,21,2101
27,0.6,2,0.5,410,436,138,137,4450,22,1983
27,0.6,2,1,457,457,122,128,4985,32,2186
27,0.6,2,2,507,474,110,122,5524,32,2366
27,0.7,0.5,0.5,363,451,153,128,3847,7,1707
27,0.7,0.5,1,394,466,140,125,4211,12,1856
27,0.7,0.5,2,400,436,140,137,4281,13,1884
27,0.7,1,0.5,406,466,136,125,4377,17,1938
27,0.7,1,1,453,481,121,120,4903,20,2133
27,0.7,1,2,449,457,123,128,4856,24,2114
27,0.7,2,0.5,409,436,137,137,4440,23,1980
27,0.7,2,1,455,457,121,128,4958,33,2173
27,0.7,2,2,503,474,110,122,5493,31,2364
27,0.8,0.5,0.5,363,451,151,128,3848,8,1708
