ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
27,1,0.5,0.5,362,445,3865
27,1,0.5,1,379,436,4084
27,1,0.5,2,390,418,4227
27,1,1,0.5,379,436,4084
27,1,1,1,386,426,4180
27,1,1,2,392,414,4254
27,1,2,0.5,390,418,4227
27,1,2,1,392,414,4254
27,1,2,2,394,409,4282
36,0.1,0.5,0.5,361,451,3861
36,0.1,0.5,1,370,466,3927
36,0.1,0.5,2,369,436,3858
36,0.1,1,0.5,415,466,4550
36,0.1,1,1,438,481,4780
36,0.1,1,2,418,457,4485
36,0.1,2,0.5,416,436,4594
36,0.1,2,1,451,457,4994
36,0.1,2,2,479,474,5269
36,0.2,0.5,0.5,363,451,3885
36,0.2,0.5,1,376,466,4007
36,0.2,0.5,2,380,436,3998
36,0.2,1,0.5,416,466,4565
36,0.2,1,1,442,481,4838
36,0.2,1,2,428,457,4603
36,0.2,2,0.5,416,436,4599
36,0.2,2,1,453,457,5018
36,0.2,2,2,485,474,5347
36,0.3,0.5,0.5,365,451,3917
36,0.3,0.5,1,382,466,4087
36,0.3,0.5,2,388,436,4115
36,0.1,0.5,0.5,361,451,3867
36,0.1,0.5,1,370,466,3934
36,0.1,0.5,2,369,436,3866
36,0.1,1,0.5,415,466,4553
36,0.1,1,1,438,481,4786
36,0.1,1,2,418,457,4491
36,0.1,2,0.5,416,436,4595
36,0.1,2,1,451,457,4996
36,0.1,2,2,479,474,5274
36,0.2,0.5,0.5,363,451,3892
36,0.2,0.5,1,376,466,4013
36,0.2,0.5,2,380,436,4007
36,0.2,1,0.5,416,466,4569
36,0.2,1,1,442,481,4844
36,0.2,1,2,428,457,4609
36,0.2,2,0.5,416,436,4600
36,0.2,2,1,453,457,5020
36,0.2,2,2,485,474,5352
36,0.3,0.5,0.5,365,451,3923
36,0.3,0.5,1,382,466,4094
36,0.3,0.5,2,388,436,4122
36,0.3,1,0.5,418,466,4587
36,0.3,1,1,447,481,4905
36,0.3,1,2,437,457,4727
36,0.3,2,0.5,417,436,4606
36,0.3,2,1,455,457,5045
36,0.3,2,2,492,474,5432
36,0.4,0.5,0.5,369,451,3959
36,0.4,0.5,1,387,466,4157
36,0.4,0.5,2,393,436,4190
36,0.4,1,0.5,419,466,4604
36,0.4,1,1,451,481,4947
36,0.4,1,2,441,457,4787
36,0.4,2,0.5,417,436,4610
36,0.4,2,1,456,457,5060
36,0.4,2,2,494,474,5471
36,0.5,0.5,0.5,374,451,4021
36,0.5,0.5,1,396,466,4260
36,0.5,0.5,2,399,436,4279
36,0.5,1,0.5,422,466,4637
36,0.5,1,1,458,481,5031
36,0.5,1,2,449,457,4892
36,0.5,2,0.5,418,436,4620
36,0.5,2,1,459,457,5097
36,0.5,2,2,502,474,5564
36,0.6,0.5,0.5,378,451,4071
36,0.6,0.5,1,401,466,4329
36,0.6,0.5,2,402,436,4338
36,0.6,1,0.5,424,466,4658
36,0.6,1,1,460,481,5067
36,0.6,1,2,451,457,4928
36,0.6,2,0.5,418,436,4626
36,0.6,2,1,461,457,5110
36,0.6,2,2,503,474,5579
36,0.7,0.5,0.5,384,451,4138
36,0.7,0.5,1,408,466,4425
36,0.7,0.5,2,406,436,4407
36,0.7,1,0.5,426,466,4685
36,0.7,1,1,465,481,5125
36,0.7,1,2,455,457,4988
36,0.7,2,0.5,419,436,4631
36,0.7,2,1,462,457,5130
36,0.7,2,2,506,474,5619
36,0.8,0.5,0.5,388,451,4189
36,0.8,0.5,1,414,466,4501
36,0.8,0.5,2,409,436,4466
36,0.8,1,0.5,426,466,4683
36,0.8,1,1,465,481,5132
36,0.8,1,2,455,457,5006
36,0.8,2,0.5,418,436,4620
36,0.8,2,1,460,457,5102
36,0.8,2,2,504,474,5588
36,0.9,0.5,0.5,388,451,4201
36,0.9,0.5,1,414,466,4529
36,0.9,0.5,2,410,436,4495
