ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,measure
54.0,0.9,1.0,0.5,480,443.52660419077074,48
54.0,0.9,1.0,1.0,528,467.5732273095475,74
54.0,0.9,1.0,2.0,480,443.52660419077074,49
54.0,0.9,2.0,0.5,425,415.5692845786289,34
54.0,0.9,2.0,1.0,480,443.52660419077074,48
54.0,0.9,2.0,2.0,528,467.5732273095475,74
54.0,1.0,0.5,0.5,396,400.77705197961217,35
54.0,1.0,0.5,1.0,396,400.77705197961217,35
54.0,1.0,0.5,2.0,396,400.77705197961217,35
54.0,1.0,1.0,0.5,396,400.77705197961217,35
54.0,1.0,1.0,1.0,396,400.77705197961217,35
54.0,1.0,1.0,2.0,396,400.77705197961217,35
54.0,1.0,2.0,0.5,396,400.77705197961217,35
54.0,1.0,2.0,1.0,396,400.77705197961217,35
54.0,1.0,2.0,2.0,396,400.77705197961217,35
63.0,0.1,0.5,0.5,455,467.5732273095475,50
63.0,0.1,0.5,1.0,424,443.52660419077074,25
63.0,0.1,0.5,2.0,393,415.5692845786288,14
63.0,0.1,1.0,0.5,436,443.52660419077074,61
63.0,0.1,1.0,1.0,455,467.5732273095475,50
63.0,0.1,1.0,2.0,424,443.52660419077074,25
63.0,0.1,2.0,0.5,409,415.5692845786289,42
63.0,0.1,2.0,1.0,436,443.52660419077074,61
63.0,0.1,2.0,2.0,455,467.5732273095475,50
63.0,0.2,0.5,0.5,459,467.5732273095475,57
63.0,0.2,0.5,1.0,432,443.52660419077074,29
63.0,0.2,0.5,2.0,403,415.5692845786288,13
63.0,0.2,1.0,0.5,437,443.52660419077074,61
63.0,0.2,1.0,1.0,459,467.5732273095475,57
63.0,0.2,1.0,2.0,432,443.52660419077074,29
63.0,0.2,2.0,0.5,409,415.5692845786289,42
63.0,0.2,2.0,1.0,437,443.52660419077074,61
63.0,0.2,2.0,2.0,459,467.5732273095475,57
63.0,0.30000000000000004,0.5,0.5,462,467.5732273095475,50
63.0,0.30000000000000004,0.5,1.0,436,443.52660419077074,39
63.0,0.30000000000000004,0.5,2.0,408,415.5692845786288,18
63.0,0.30000000000000004,1.0,0.5,438,443.52660419077074,61
63.0,0.30000000000000004,1.0,1.0,462,467.5732273095475,50
63.0,0.30000000000000004,1.0,2.0,436,443.52660419077074,39
63.0,0.30000000000000004,2.0,0.5,409,415.5692845786289,41
63.0,0.30000000000000004,2.0,1.0,438,443.52660419077074,61
